Length	Absolute Error
    10	5.68386e-15
    15	1.31615e-14
    58	4.67290e-13
    68	3.45589e-13
    70	9.70126e-14
    72	4.75203e-14
   111	8.12568e-13
   115	4.93506e-13
   134	1.56303e-12
   136	4.82511e-13
   150	7.21881e-14
   152	4.12229e-13
   159	1.28300e-12
   160	5.26594e-14
   165	2.22336e-13
   170	5.34254e-13
   174	8.58568e-13
   189	1.79738e-13
   194	2.57301e-12
   224	1.70016e-13
   230	8.00859e-13
   235	1.62044e-12
   264	2.85743e-13
   272	6.42209e-13
   285	6.33550e-13
   295	2.07499e-12
   297	2.92190e-13
   300	1.16445e-13
   305	2.18199e-12
   310	1.18204e-12
   328	1.49725e-12
   330	2.88150e-13
   332	3.06199e-12
   333	1.41048e-12
   357	7.42205e-13
   363	4.40238e-13
   386	7.68884e-12
   436	4.57138e-12
   441	3.53199e-13
   452	5.04724e-12
   459	8.62703e-13
   474	3.38191e-12
   490	3.60987e-13
   496	1.47890e-12
   522	1.42694e-12
   531	2.82359e-12
   546	6.47867e-13
   564	2.18093e-12
   568	3.36268e-12
   585	6.25891e-13
   605	5.67814e-13
   608	9.68756e-13
   610	3.14252e-12
   612	9.90627e-13
   621	1.22192e-12
   624	6.33176e-13
   626	1.44766e-11
   634	1.52474e-11
   638	1.55598e-12
   639	3.69971e-12
   652	8.16052e-12
   654	5.94560e-12
   672	3.39265e-13
   675	2.08286e-13
   686	4.79454e-13
   693	5.28279e-13
   700	3.39358e-13
   710	4.08659e-12
   714	1.10519e-12
   715	8.22387e-13
   717	1.35426e-11
   720	2.05207e-13
   725	1.67502e-12
   735	4.24433e-13
   742	2.94586e-12
   747	4.58281e-12
   758	2.14651e-11
   760	1.07157e-12
   765	1.14303e-12
   766	2.14147e-11
   775	1.85354e-12
   802	2.26303e-11
   805	1.51039e-12
   818	2.35535e-11
   830	4.84217e-12
   842	2.45710e-11
   848	3.08768e-12
   854	3.78893e-12
   856	6.55343e-12
   861	2.50744e-12
   867	1.63457e-12
   884	1.41210e-12
   904	7.07365e-12
   909	6.61794e-12
   928	1.90773e-12
   938	4.32246e-12
   958	3.05730e-11
   978	1.01277e-11
   986	2.30503e-12
   995	1.36177e-11
