Length	Relative Error
    10	2.02988e-16
    15	4.63496e-16
    58	7.47078e-15
    68	4.86352e-15
    70	1.38553e-15
    72	7.65827e-16
   111	9.22329e-15
   115	5.86125e-15
   134	1.68202e-14
   136	5.14923e-15
   150	7.04599e-16
   152	4.08922e-15
   159	1.24888e-14
   160	4.98438e-16
   165	2.13849e-15
   170	4.92009e-15
   174	7.82001e-15
   189	1.59991e-15
   194	2.30639e-14
   224	1.37476e-15
   230	6.66100e-15
   235	1.29221e-14
   264	2.12254e-15
   272	4.85047e-15
   285	4.53012e-15
   295	1.47623e-14
   297	2.05322e-15
   300	8.12460e-16
   305	1.52491e-14
   310	8.35650e-15
   328	9.98904e-15
   330	1.96113e-15
   332	2.04077e-14
   333	9.54255e-15
   357	4.68351e-15
   363	2.83107e-15
   386	4.77820e-14
   436	2.68660e-14
   441	2.02609e-15
   452	2.86135e-14
   459	4.90802e-15
   474	1.83395e-14
   490	2.02565e-15
   496	8.05164e-15
   522	7.70058e-15
   531	1.49887e-14
   546	3.34280e-15
   564	1.12025e-14
   568	1.76317e-14
   585	3.16205e-15
   605	2.77483e-15
   608	4.79450e-15
   610	1.55783e-14
   612	4.87032e-15
   621	6.08164e-15
   624	3.10207e-15
   626	7.23283e-14
   634	7.36925e-14
   638	7.57755e-15
   639	1.75530e-14
   652	3.89862e-14
   654	2.83686e-14
   672	1.60058e-15
   675	9.85658e-16
   686	2.26437e-15
   693	2.45284e-15
   700	1.53560e-15
   710	1.88506e-14
   714	5.09969e-15
   715	3.74143e-15
   717	6.24056e-14
   720	9.37062e-16
   725	7.59145e-15
   735	1.92175e-15
   742	1.33933e-14
   747	2.04122e-14
   758	9.45580e-14
   760	4.66507e-15
   765	5.05080e-15
   766	9.45062e-14
   775	8.11127e-15
   802	9.92643e-14
   805	6.48434e-15
   818	1.00979e-13
   830	2.06835e-14
   842	1.03458e-13
   848	1.29865e-14
   854	1.57001e-14
   856	2.73830e-14
   861	1.02457e-14
   867	6.77312e-15
   884	5.81444e-15
   904	2.86743e-14
   909	2.71359e-14
   928	7.70420e-15
   938	1.72647e-14
   958	1.21470e-13
   978	3.96415e-14
   986	9.02810e-15
   995	5.26211e-14
